v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 3.7884587654115285e-06 1.7223876118977823e-24 3.7884587654115285e-06 0.7500000000000003 0.0 0.0 0.0 0.0 -3.788458765411987e-06 -4.6943149731020695e-33 -3.788458765411987e-06 0.0 -5.113041153692286e-21 -1.946277189263464e-21 -7.05931834295575e-21
0.1 4.086208890956526e-06 1.723268794032818e-24 4.086208890956526e-06 0.7750000000000004 0.0 0.0 0.0 0.0 -4.086208890958633e-06 -5.060886067067944e-33 -4.086208890958633e-06 0.0 -5.121865596029709e-21 -2.02091699065715e-21 -7.14278258668686e-21
0.1 4.384693953882311e-06 1.7241525136483362e-24 4.384693953882311e-06 0.8000000000000004 0.0 0.0 0.0 0.0 -4.384693953883057e-06 -5.428235845011357e-33 -4.384693953883057e-06 0.0 -5.130660823086461e-21 -1.9573592035810032e-21 -7.088020026667465e-21
0.1 4.683391227358566e-06 1.7250372037431915e-24 4.683391227358566e-06 0.8250000000000004 0.0 0.0 0.0 0.0 -4.683391227358134e-06 -5.795741151547016e-33 -4.683391227358134e-06 0.0 -5.1394153908554704e-21 -1.8760619579756095e-21 -7.01547734883108e-21
0.1 4.981872154823608e-06 1.7259215775371737e-24 4.981872154823608e-06 0.8500000000000004 0.0 0.0 0.0 0.0 -4.981872154824241e-06 -6.162874079737472e-33 -4.981872154824241e-06 0.0 -5.1481202242776385e-21 -2.000351544938229e-21 -7.148471769215868e-21
0.1 5.279786633488607e-06 1.726804581841355e-24 5.279786633488607e-06 0.8750000000000004 0.0 0.0 0.0 0.0 -5.2797866334890336e-06 -6.52920968153542e-33 -5.2797866334890336e-06 0.0 -5.156768186171388e-21 -2.069068983259349e-21 -7.225837169430737e-21
0.1 5.576849619615134e-06 1.727685357294659e-24 5.576849619615134e-06 0.9000000000000005 0.0 0.0 0.0 0.0 -5.576849619616303e-06 -6.894396210292592e-33 -5.576849619616303e-06 0.0 -5.165353718373552e-21 -1.9951512390104966e-21 -7.160504957384048e-21
0.1 5.87282986670168e-06 1.7285632049155334e-24 5.87282986670168e-06 0.9250000000000005 0.0 0.0 0.0 0.0 -5.8728298667009685e-06 -7.258151012803212e-33 -5.8728298667009685e-06 0.0 -5.173872546236221e-21 -2.0189175902154216e-21 -7.192790136451642e-21
0.1 6.167540546192056e-06 1.7294375582319877e-24 6.167540546192056e-06 0.9500000000000005 0.0 0.0 0.0 0.0 -6.16754054619253e-06 -7.620271303609862e-33 -6.16754054619253e-06 0.0 -5.182321437057194e-21 -2.046320125886739e-21 -7.228641562943933e-21
0.1 6.460831484924496e-06 1.7303079602056567e-24 6.460831484924496e-06 0.9750000000000005 0.0 0.0 0.0 0.0 -6.460831484923591e-06 -7.980546460444946e-33 -6.460831484923591e-06 0.0 -5.190698003512776e-21 -2.0273235879686115e-21 -7.218021591481386e-21
0.1 6.75258276511758e-06 1.7311740441982795e-24 6.75258276511758e-06 1.0 0.0 0.0 0.0 0.0 -6.752582765117606e-06 -8.338847369917898e-33 -6.752582765117606e-06 0.0 -5.1990005440531765e-21 -2.1089693238427163e-21 -7.307969867895893e-21
